City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Olafsvik,IS,2022-01-31 00:01:55,64.8945,-23.7142,270.67,55,100,11.39
260,Lavrentiya,RU,2022-01-31 00:01:55,65.5833,-171.0,252.58,91,6,1.89
261,Rock Sound,BS,2022-01-31 00:01:56,24.9,-76.2,291.98,63,98,6.12
262,Srednekolymsk,RU,2022-01-31 00:01:56,67.45,153.6833,238.85,100,100,0.83
263,Saint-Joseph,RE,2022-01-31 00:01:57,-21.3667,55.6167,297.36,83,23,5.09
264,Saldanha,ZA,2022-01-31 00:01:57,-33.0117,17.9442,291.62,92,66,2.72
265,Flin Flon,CA,2022-01-31 00:01:58,54.7682,-101.865,261.37,95,100,2.75
266,Lufilufi,WS,2022-01-31 00:01:58,-13.8745,-171.5986,300.68,76,97,3.45
267,Nabire,ID,2022-01-30 23:59:42,-3.3667,135.4833,298.86,78,100,1.07
268,Tiznit,MA,2022-01-30 23:59:54,29.5833,-9.5,288.92,28,94,7.29
269,Carballo,ES,2022-01-31 00:01:59,43.213,-8.691,280.85,89,0,0.98
270,Laguna,US,2022-01-31 00:01:59,38.421,-121.4238,291.73,52,0,0.45
271,Kavaratti,IN,2022-01-31 00:02:00,10.5669,72.642,300.49,72,11,2.47
272,Lata,PT,2022-01-31 00:02:00,40.1629,-8.3327,281.88,58,96,1.39
273,Norman Wells,CA,2022-01-30 23:58:41,65.282,-126.8329,241.17,68,75,0.0
274,Lorengau,PG,2022-01-31 00:03:01,-2.0226,147.2712,299.66,83,100,5.58
275,Husavik,IS,2022-01-31 00:03:01,66.0449,-17.3389,267.6,81,47,14.41
276,Poronaysk,RU,2022-01-31 00:03:02,49.2167,143.1167,259.79,86,97,1.74
277,Kasungu,MW,2022-01-31 00:03:02,-13.0333,33.4833,289.92,96,46,0.4
278,Clyde River,CA,2022-01-31 00:03:02,70.4692,-68.5914,236.9,97,74,1.54
279,Corralillo,CU,2022-01-31 00:03:03,22.9819,-80.5856,288.63,65,4,4.41
280,Fraserburgh,GB,2022-01-31 00:03:03,57.6874,-2.0184,278.21,92,100,17.69
281,Quatre Cocos,MU,2022-01-31 00:03:04,-20.2078,57.7625,298.76,82,100,7.53
282,Ikungi,TZ,2022-01-31 00:03:04,-5.1333,34.7667,289.46,98,100,1.58
283,Airai,TL,2022-01-30 23:59:55,-8.9266,125.4092,292.13,77,87,2.12
284,Katsuura,JP,2022-01-31 00:03:05,35.1333,140.3,279.92,46,99,5.3
285,Merauke,ID,2022-01-31 00:03:05,-8.4667,140.3333,301.5,70,99,2.96
286,Sitio Novo Do Tocantins,BR,2022-01-31 00:03:06,-5.5183,-47.4611,295.21,96,100,0.91
287,Itarema,BR,2022-01-31 00:03:06,-2.9248,-39.9167,298.51,82,100,4.39
288,Namibe,AO,2022-01-31 00:03:07,-15.1961,12.1522,295.52,73,100,3.05
289,Kesinga,IN,2022-01-31 00:03:07,20.2,83.2333,285.98,36,0,1.18
290,Roald,NO,2022-01-31 00:03:07,62.5833,6.1333,273.33,80,20,4.63
291,Konakovo,RU,2022-01-31 00:03:08,56.7,36.7667,268.25,95,100,3.81
